"","x","y","var","Species"
"1",-1.35662117211715,0.607950420436075,"bio1","M.religiosa East"
"2",-0.333507508039474,0.607950420436075,"bio1","M.religiosa East"
"3",0.689606156038201,0.572846754152351,"bio1","M.religiosa East"
"4",1.71271982011588,0.537721673554614,"bio1","M.religiosa East"
"5",2.73583348419355,0.502904881845876,"bio1","M.religiosa East"
"6",3.75894714827123,0.468685867990968,"bio1","M.religiosa East"
"7",4.78206081234891,0.435308914744021,"bio1","M.religiosa East"
"8",5.80517447642658,0.402972355734393,"bio1","M.religiosa East"
"9",6.82828814050426,0.37183138622495,"bio1","M.religiosa East"
"10",7.85140180458193,0.342003092420913,"bio1","M.religiosa East"
"11",8.87451546865961,0.313572576996899,"bio1","M.religiosa East"
"12",9.89762913273728,0.286599063514429,"bio1","M.religiosa East"
"13",10.920742796815,0.261121102919282,"bio1","M.religiosa East"
"14",11.9438564608926,0.237160737380995,"bio1","M.religiosa East"
"15",12.9669701249703,0.21472603744418,"bio1","M.religiosa East"
"16",13.990083789048,0.193812868656847,"bio1","M.religiosa East"
"17",15.0131974531257,0.174405537807626,"bio1","M.religiosa East"
"18",16.0363111172033,0.156477388359256,"bio1","M.religiosa East"
"19",17.059424781281,0.139990949633614,"bio1","M.religiosa East"
"20",18.0825384453587,0.124898802891271,"bio1","M.religiosa East"
"21",19.1056521094364,0.111144204916369,"bio1","M.religiosa East"
"22",20.128765773514,0.0986624712163365,"bio1","M.religiosa East"
"23",21.1518794375917,0.0873824527164318,"bio1","M.religiosa East"
"24",22.1749931016694,0.0772283291672003,"bio1","M.religiosa East"
"25",23.1981067657471,0.068121256506484,"bio1","M.religiosa East"
"26",24.2212204298247,0.068121256506484,"bio1","M.religiosa East"
"27",450.953454059103,0.379454940831015,"bio12","M.religiosa East"
"28",525.698669433594,0.379454940831015,"bio12","M.religiosa East"
"29",600.443884808084,0.367629596151456,"bio12","M.religiosa East"
"30",675.189100182575,0.355985259978548,"bio12","M.religiosa East"
"31",749.934315557065,0.344530278544703,"bio12","M.religiosa East"
"32",824.679530931556,0.333272217435933,"bio12","M.religiosa East"
"33",899.424746306046,0.322217808538179,"bio12","M.religiosa East"
"34",974.169961680537,0.311373040936564,"bio12","M.religiosa East"
"35",1048.91517705503,0.300743159885241,"bio12","M.religiosa East"
"36",1123.66039242952,0.290332675640252,"bio12","M.religiosa East"
"37",1198.40560780401,0.280145446355967,"bio12","M.religiosa East"
"38",1273.1508231785,0.270184679321745,"bio12","M.religiosa East"
"39",1347.89603855299,0.260452990281772,"bio12","M.religiosa East"
"40",1422.64125392748,0.250952374849836,"bio12","M.religiosa East"
"41",1497.38646930197,0.241684338741808,"bio12","M.religiosa East"
"42",1572.13168467646,0.232649866681672,"bio12","M.religiosa East"
"43",1646.87690005095,0.223849471805826,"bio12","M.religiosa East"
"44",1721.62211542544,0.215283239602047,"bio12","M.religiosa East"
"45",1796.36733079993,0.206950800930928,"bio12","M.religiosa East"
"46",1871.11254617442,0.198851443481562,"bio12","M.religiosa East"
"47",1945.85776154891,0.190984080620949,"bio12","M.religiosa East"
"48",2020.6029769234,0.183347288911879,"bio12","M.religiosa East"
"49",2095.34819229789,0.175939341990796,"bio12","M.religiosa East"
"50",2170.09340767238,0.168758171302842,"bio12","M.religiosa East"
"51",2244.83862304688,0.16180151484043,"bio12","M.religiosa East"
"52",2319.58383842137,0.16180151484043,"bio12","M.religiosa East"
"53",3.65123682436736,0.576910064509947,"bio15","M.religiosa East"
"54",6.39209365844727,0.576910064509947,"bio15","M.religiosa East"
"55",9.13295049252717,0.524070357558076,"bio15","M.religiosa East"
"56",11.8738073266071,0.471995973956125,"bio15","M.religiosa East"
"57",14.614664160687,0.42163257050821,"bio15","M.religiosa East"
"58",17.3555209947669,0.373735432619195,"bio15","M.religiosa East"
"59",20.0963778288468,0.328863464804187,"bio15","M.religiosa East"
"60",22.8372346629267,0.287391767849579,"bio15","M.religiosa East"
"61",25.5780914970066,0.249532910844839,"bio15","M.religiosa East"
"62",28.3189483310865,0.215361562600352,"bio15","M.religiosa East"
"63",31.0598051651664,0.184839124347424,"bio15","M.religiosa East"
"64",33.8006619992464,0.15783709858315,"bio15","M.religiosa East"
"65",36.5415188333263,0.134159440224198,"bio15","M.religiosa East"
"66",39.2823756674062,0.113562991418036,"bio15","M.religiosa East"
"67",42.0232325014861,0.0957760769579443,"bio15","M.religiosa East"
"68",44.764089335566,0.0805144230539478,"bio15","M.religiosa East"
"69",47.5049461696459,0.0674941002070545,"bio15","M.religiosa East"
"70",50.2458030037258,0.0564414351815996,"bio15","M.religiosa East"
"71",52.9866598378057,0.0470997726894887,"bio15","M.religiosa East"
"72",55.7275166718856,0.0392338086062633,"bio15","M.religiosa East"
"73",58.4683735059655,0.0326316947664733,"bio15","M.religiosa East"
"74",61.2092303400454,0.0271055360236972,"bio15","M.religiosa East"
"75",63.9500871741253,0.0224907229165886,"bio15","M.religiosa East"
"76",66.6909440082052,0.0186445418976368,"bio15","M.religiosa East"
"77",69.4318008422852,0.015444251356473,"bio15","M.religiosa East"
"78",72.1726576763651,0.015444251356473,"bio15","M.religiosa East"
"79",2.69858215166175,0.451864109595673,"bio2","M.religiosa East"
"80",3.04412007331848,0.451864109595673,"bio2","M.religiosa East"
"81",3.38965799497521,0.441068631225212,"bio2","M.religiosa East"
"82",3.73519591663195,0.430362820320312,"bio2","M.religiosa East"
"83",4.08073383828868,0.419754128431748,"bio2","M.religiosa East"
"84",4.42627175994541,0.409249578773365,"bio2","M.religiosa East"
