"","rm","fc","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef","species"
"1",5,"L","rm.5_fc.L",0.872147678466635,0.996,0.0298533336758548,0.0195565183898665,0.862064516791204,0.0299968069619514,0.9726,0.0214079424513427,0.113717027199959,0.0528644212129524,0.00263157894736842,0.00588438941447313,20880.335550101,2016.85105440792,0,9,"M.religiosa East"
"2",2.5,"L","rm.2.5_fc.L",0.887893137139801,0.983,0.0311022594169246,0.0209127864713302,0.87958221405187,0.0307865867546697,0.8678,0.0317285360519518,0.116750525109358,0.0836058613463449,0.0142405971863336,0.0209703460304276,5408.80306011082,506.987890326543,7.99712752217138e-111,9,"M.religiosa GP"
"3",0.5,"L","rm.0.5_fc.L",0.817875914349478,1,0.0437516944741166,0.0305088867443009,0.800610285741778,0.0446578378204834,0.9604,0.0501228490810329,0.114456052954381,0.0585354498004785,0.00127388535031847,0.00284849423885324,26235.9199978109,2274.8949655461,0,11,"M.religiosa W"
