"","long","lat","continent"
"131",-1.119203,37.931757,"EUROPE"
"132",0.41793,47.31345,"EUROPE"
"133",15.361723,46.912061,"EUROPE"
"134",8.638679,49.350803,"EUROPE"
"135",7.832106,48.000364,"EUROPE"
"136",6.737741,49.822437,"EUROPE"
"137",44.038745,9.540354,"AFRICA"
"138",11.266438,42.804208,"EUROPE"
"139",79.026894,12.222648,"ASIA"
"140",7.739223,45.409363,"EUROPE"
"141",17.836039,48.778925,"EUROPE"
"142",77.53085,12.880184,"ASIA"
"143",34.980797,31.715342,"ASIA"
"144",28.73038,44.595102,"EUROPE"
"145",29.915344,39.47935,"ASIA"
"146",13.193543,41.571979,"EUROPE"
"147",76.337679,10.153226,"ASIA"
"148",10.152252,45.641464,"EUROPE"
"149",1.13,43.591,"EUROPE"
"150",102.977611,17.363746,"ASIA"
"151",-0.51,38.67,"EUROPE"
"152",1.09178,45.01834,"EUROPE"
"153",5.14227,44.781013,"EUROPE"
"154",7.648888,49.502918,"EUROPE"
"155",20.36079,50.976475,"EUROPE"
"156",16.7661,50.084294,"EUROPE"
"157",3.717726,43.71474,"EUROPE"
"158",99.040514,18.800087,"ASIA"
"159",20.611891,50.852729,"EUROPE"
"160",6.027094,45.499121,"EUROPE"
"161",-8.598381,41.26608,"EUROPE"
"162",4.18466,47.599052,"EUROPE"
"163",-0.302662,38.580627,"EUROPE"
"164",1.20667,46.70824,"EUROPE"
"165",6.385729,49.960365,"EUROPE"
"166",2.730453,48.889456,"EUROPE"
"167",85.4719,20.2067,"ASIA"
"168",2.43163,43.16884,"EUROPE"
"169",-4.689408,37.944695,"EUROPE"
"170",3.73941,43.936309,"EUROPE"
"171",0.02373,43.41204,"EUROPE"
"172",25.310113,42.131917,"EUROPE"
"173",102.138481,15.008039,"ASIA"
"174",12.020657,42.481927,"EUROPE"
"175",16.17715,48.326013,"EUROPE"
"176",5.922363,49.502142,"EUROPE"
"177",-3.442123,40.892178,"EUROPE"
"178",16.08251,47.797611,"EUROPE"
"179",11.005044,43.731251,"EUROPE"
"180",3.31962,43.9676,"EUROPE"
"181",4.51758,43.63095,"EUROPE"
"182",-5.965949,36.273399,"EUROPE"
"183",16.830151,48.800354,"EUROPE"
"184",3.34832,43.57843,"EUROPE"
"185",8.347856,49.532463,"EUROPE"
"186",0.238331,42.463639,"EUROPE"
"187",-1.258856,41.914888,"EUROPE"
"188",16.853632,49.968038,"EUROPE"
"189",-8.039395,41.708525,"EUROPE"
"190",4.729984,44.215007,"EUROPE"
"191",11.905155,51.53676,"EUROPE"
"192",4.849905,44.939362,"EUROPE"
"193",5.36835,44.45852,"EUROPE"
"194",7.65144,48.069943,"EUROPE"
"195",-0.1026,47.11168,"EUROPE"
"196",7.159932,50.741752,"EUROPE"
"197",9.571064,49.984268,"EUROPE"
"198",6.69091,44.66007,"EUROPE"
"199",-1.064795,46.682827,"EUROPE"
"200",-5.622375,37.958035,"EUROPE"
"201",12.608768,51.932288,"EUROPE"
"202",2.54249,46.63415,"EUROPE"
"203",1.692967,41.280327,"EUROPE"
"204",-2.165453,42.59302,"EUROPE"
"205",18.830654,47.841591,"EUROPE"
"206",8.066222,49.581316,"EUROPE"
"207",7.59602,47.62499,"EUROPE"
"208",7.755618,47.599659,"EUROPE"
"209",7.289876,50.022199,"EUROPE"
"210",-4.127594,36.862747,"EUROPE"
"211",17.902475,43.256275,"EUROPE"
"212",-1.993291,48.309105,"EUROPE"
"213",8.588663,45.773965,"EUROPE"
"214",13.36341,41.57313,"EUROPE"
"215",3.02233,49.51962,"EUROPE"
"216",77.989548,9.822043,"ASIA"
"217",14.334065,37.365162,"EUROPE"
"218",-3.644247,41.018837,"EUROPE"
"219",-0.21363,48.41813,"EUROPE"
"220",6.09291,43.449208,"EUROPE"
"221",25.84403,48.965714,"EUROPE"
"222",6.22974,45.78741,"EUROPE"
"223",4.847002,43.759288,"EUROPE"
"224",17.963692,40.259571,"EUROPE"
"225",113.98856,-8.458967,"ASIA"
"226",-1.67839,48.114109,"EUROPE"
"227",5.504735,45.350163,"EUROPE"
"228",16.279611,47.888047,"EUROPE"
"229",61.079506,55.314374,"ASIA"
"230",15.949451,48.57926,"EUROPE"
"231",11.294613,44.339904,"EUROPE"
"232",-3.685778,40.922045,"EUROPE"
"233",92.834617,26.933638,"ASIA"
"234",18.000637,53.239932,"EUROPE"
"235",2.91618,48.95473,"EUROPE"
"236",-0.676111,43.502778,"EUROPE"
"237",120.055177,-9.963636,"ASIA"
"238",5.50952,45.75246,"EUROPE"
"239",5.021936,47.350945,"EUROPE"
"240",100.989525,14.104242,"ASIA"
"241",5.766059,46.579961,"EUROPE"
"242",15.629,46.886579,"EUROPE"
"243",-5.588328,36.525459,"EUROPE"
"244",1.88027,42.96656,"EUROPE"
"245",6.608206,43.508986,"EUROPE"
"246",-8.020914,38.537891,"EUROPE"
"247",12.5,42.25,"EUROPE"
"248",57.15628,27.410143,"ASIA"
"249",16.221064,47.735977,"EUROPE"
"250",0.36771,44.04099,"EUROPE"
"251",0.318135,40.963426,"EUROPE"
"252",4.97268,44.25381,"EUROPE"
"253",22.646103,50.63897,"EUROPE"
"254",2.37368,42.80933,"EUROPE"
"255",13.779,51.987999,"EUROPE"
"256",9.517014,45.76952,"EUROPE"
"257",16.795578,49.245837,"EUROPE"
"258",13.457928,52.171279,"EUROPE"
"259",-2.92583,43.19717,"EUROPE"
"260",-2.628661,42.827362,"EUROPE"
"261",18.42827,47.18022,"EUROPE"
"262",14.603838,40.752228,"EUROPE"
"263",9.582868,46.144355,"EUROPE"
"264",11.540556,42.73,"EUROPE"
"265",18.54954,47.17319,"EUROPE"
"266",12.763292,51.372559,"EUROPE"
"267",7.048709,49.390535,"EUROPE"
"268",2.508896,46.22397,"EUROPE"
"269",-1.332,47.23326,"EUROPE"
"270",33.647484,35.158703,"EUROPE"
"271",7.835655,49.487366,"EUROPE"
"272",8.641004,49.645485,"EUROPE"
"273",6.936867,50.702178,"EUROPE"
"274",-4.376194,39.323523,"EUROPE"
"275",19.350697,47.60742,"EUROPE"
"276",105.937117,20.215675,"ASIA"
"277",8.799863,48.953182,"EUROPE"
"278",12.31183,51.493157,"EUROPE"
"279",79.593948,13.708505,"ASIA"
"280",17.203836,40.744846,"EUROPE"
"281",12.24424,42.243301,"EUROPE"
"282",6.071765,49.47278,"EUROPE"
"283",5.067283,48.612686,"EUROPE"
"284",1.75014,49.00333,"EUROPE"
"285",17.231589,48.219721,"EUROPE"
"286",4.999328,47.311262,"EUROPE"
"287",47.515214,55.443478,"EUROPE"
"288",10.940596,45.985351,"EUROPE"
"289",0.54635,48.37221,"EUROPE"
"290",5.4325,45.473056,"EUROPE"
"291",77.504878,23.309063,"ASIA"
"292",13.88346,45.469099,"EUROPE"
"293",13.920397,45.6287,"EUROPE"
"294",-1.052675,47.33313,"EUROPE"
"295",14.069481,45.786487,"EUROPE"
"296",4.727572,45.046853,"EUROPE"
"297",7.00542,48.63783,"EUROPE"
"298",36.097655,51.572143,"EUROPE"
"299",13.460408,46.272397,"EUROPE"
"300",9.354806,44.920561,"EUROPE"
"301",13.629233,46.082974,"EUROPE"
"302",44.264891,40.335317,"ASIA"
"303",-1.26004,47.3223,"EUROPE"
"304",-5.57918,40.126368,"EUROPE"
"305",-0.15766,48.98113,"EUROPE"
"306",26.127961,-33.492425,"AFRICA"
"307",12.657841,41.789948,"EUROPE"
"308",1.238162,45.476864,"EUROPE"
"309",40.96192,50.12492,"EUROPE"
"310",34.782941,37.103073,"ASIA"
"311",78.353616,17.457374,"ASIA"
"312",20.250324,46.990543,"EUROPE"
"313",4.544177,46.373283,"EUROPE"
"314",21.926595,50.593812,"EUROPE"
"315",50.395931,53.50159,"EUROPE"
"316",37.633404,54.187729,"EUROPE"
"317",1.541559,48.452945,"EUROPE"
"318",14.784195,48.05479,"EUROPE"
"319",-0.650597,38.839507,"EUROPE"
"320",41.939293,45.111055,"EUROPE"
"321",38.804439,51.205835,"EUROPE"
"322",16.664703,47.758678,"EUROPE"
"323",27.415296,-26.841447,"AFRICA"
"324",0.744469,42.047921,"EUROPE"
"325",-7.66315,37.633437,"EUROPE"
"326",56.042752,53.455958,"EUROPE"
"327",7.785657,47.962163,"EUROPE"
"328",20.22582,46.22209,"EUROPE"
"329",7.084164,49.929035,"EUROPE"
"330",6.760815,49.744911,"EUROPE"
"331",-5.54012,39.892831,"EUROPE"
"332",8.566216,50.046009,"EUROPE"
"333",4.53082,43.90727,"EUROPE"
"334",-4.397,36.866001,"EUROPE"
"335",1.63126,45.79238,"EUROPE"
"336",-1.767812,42.882518,"EUROPE"
"337",14.966941,37.093923,"EUROPE"
"338",13.753775,51.494026,"EUROPE"
"339",7.40623,46.25393,"EUROPE"
"340",8.82562,49.9897,"EUROPE"
"341",13.556836,51.626842,"EUROPE"
"342",16.87552,48.69025,"EUROPE"
"343",65.774133,55.377255,"ASIA"
"344",15.959818,47.292497,"EUROPE"
"345",4.753401,43.536319,"EUROPE"
"346",23.140631,42.708522,"EUROPE"
"347",15.880319,46.820546,"EUROPE"
"348",13.054531,52.217133,"EUROPE"
"349",11.05906,45.466643,"EUROPE"
"350",34.287168,45.420418,"EUROPE"
"351",16.94952,47.59039,"EUROPE"
"352",101.513917,12.933225,"ASIA"
"353",8.833095,44.709576,"EUROPE"
"354",17.096992,52.367284,"EUROPE"
"355",0.53788,43.00247,"EUROPE"
"356",17.573969,49.050137,"EUROPE"
"357",7.32548,44.833719,"EUROPE"
"358",-0.355287,42.779367,"EUROPE"
"359",13.642728,46.732412,"EUROPE"
"360",6.65589,44.12055,"EUROPE"
"361",-0.439035,42.314878,"EUROPE"
"362",19.162093,48.773994,"EUROPE"
"363",3.994201,44.220109,"EUROPE"
"364",16.614737,40.666444,"EUROPE"
"365",118.226418,36.742161,"ASIA"
"366",4.853845,36.69348,"AFRICA"
"367",9.41909,45.566475,"EUROPE"
"368",16.378899,48.567999,"EUROPE"
"369",42.933636,36.849616,"ASIA"
"370",17.444156,48.841011,"EUROPE"
"371",23.72717,52.074917,"EUROPE"
"372",7.767581,44.150526,"EUROPE"
"373",22.338402,49.895523,"EUROPE"
"374",44.19786,52.443419,"EUROPE"
"375",15.315548,47.086222,"EUROPE"
"376",12.409582,42.783722,"EUROPE"
"377",19.330776,47.257618,"EUROPE"
"378",7.26449,44.32502,"EUROPE"
"379",7.758391,50.227074,"EUROPE"
"380",21.968168,51.446601,"EUROPE"
"381",-8.498707,38.909393,"EUROPE"
"382",9.225043,44.578816,"EUROPE"
"383",16.950197,48.076462,"EUROPE"
"384",11.072219,44.213798,"EUROPE"
"385",23.123719,41.444111,"EUROPE"
"386",46.516326,42.456018,"EUROPE"
"387",23.254627,41.46019,"EUROPE"
"388",16.412493,49.186045,"EUROPE"
"389",0.14918,48.20588,"EUROPE"
"390",14.562686,41.305283,"EUROPE"
"391",7.436195,48.265772,"EUROPE"
"392",15.784977,43.771236,"EUROPE"
"393",5.21602,44.06908,"EUROPE"
"394",11.676671,51.219349,"EUROPE"
"395",6.169332,48.430634,"EUROPE"
"396",-9.957733,28.941756,"AFRICA"
"397",14.146854,51.626831,"EUROPE"
"398",13.377351,51.552361,"EUROPE"
"399",4.269882,44.377688,"EUROPE"
"400",11.956835,51.423706,"EUROPE"
"401",-8.738974,37.725588,"EUROPE"
"402",13.623232,52.173634,"EUROPE"
"403",8.222861,50.008507,"EUROPE"
"404",7.640032,49.981859,"EUROPE"
"405",12.286481,51.844543,"EUROPE"
"406",14.347481,51.704339,"EUROPE"
"407",45.086056,53.367608,"EUROPE"
"408",-7.999614,42.852433,"EUROPE"
"409",32.752766,34.974892,"EUROPE"
"410",8.52444,45.744331,"EUROPE"
"411",-5.395594,37.524264,"EUROPE"
"412",55.74429,24.684325,"ASIA"
"413",38.403586,53.856595,"EUROPE"
"414",10.540028,44.502797,"EUROPE"
"415",6.05264,49.11446,"EUROPE"
"416",17.440026,45.302269,"EUROPE"
"417",35.736408,32.768939,"ASIA"
"418",24.966352,44.836567,"EUROPE"
"419",-0.83192,39.602296,"EUROPE"
"420",-7.0625,42.731944,"EUROPE"
"421",15.31945,48.234509,"EUROPE"
"422",16.548232,51.927532,"EUROPE"
"423",16.6654,48.8653,"EUROPE"
"424",-1.282337,40.059969,"EUROPE"
"425",35.751553,32.766138,"ASIA"
"426",7.878,48.474998,"EUROPE"
"427",15.762441,44.198744,"EUROPE"
"428",-8.697473,39.514254,"EUROPE"
"429",34.154212,48.938763,"EUROPE"
"430",-6.486265,41.598676,"EUROPE"
"431",44.766528,41.835065,"ASIA"
"432",16.794035,47.821114,"EUROPE"
"433",23.507875,54.896736,"EUROPE"
"434",23.020562,51.115258,"EUROPE"
"435",22.588387,53.35026,"EUROPE"
"436",-5.933248,37.356137,"EUROPE"
"437",39.375942,54.956165,"EUROPE"
"438",50.123154,53.205434,"EUROPE"
"439",44.981654,55.205279,"EUROPE"
"440",19.448922,50.476213,"EUROPE"
"441",4.225921,44.498644,"EUROPE"
"442",14.081031,50.546324,"EUROPE"
"443",100.89972,23.002158,"ASIA"
"444",1.173624,44.514688,"EUROPE"
"445",40.836833,47.733206,"EUROPE"
"446",49.64469,53.798429,"EUROPE"
"447",14.5,48.15,"EUROPE"
"448",14.550905,50.324864,"EUROPE"
"449",27.605097,47.15708,"EUROPE"
"450",20.24957,46.99071,"EUROPE"
"451",55.397034,54.595457,"EUROPE"
"452",41.685419,51.192614,"EUROPE"
"453",-3.012179,39.573754,"EUROPE"
"454",16.099272,48.561428,"EUROPE"
"455",2.00682,47.95373,"EUROPE"
"456",57.267443,55.014256,"EUROPE"
"457",32.051328,47.075091,"EUROPE"
"458",27.443054,38.353993,"ASIA"
"459",6.37343,43.74347,"EUROPE"
"460",17.73753,49.376945,"EUROPE"
"461",15.532724,44.06142,"EUROPE"
"462",15.487981,51.842703,"EUROPE"
"463",1.13992,49.37677,"EUROPE"
"464",44.60655,53.452994,"EUROPE"
"465",53.678431,54.839698,"EUROPE"
"466",2.6542,42.812797,"EUROPE"
"467",18.98857,47.42213,"EUROPE"
"468",16.271242,41.076736,"EUROPE"
"469",35.739441,51.076726,"EUROPE"
"470",16.661455,48.457827,"EUROPE"
"471",-6.876106,42.856726,"EUROPE"
"472",42.483112,46.471103,"EUROPE"
"473",-2.915782,42.871443,"EUROPE"
"474",16.41263,40.827579,"EUROPE"
"475",17.422892,50.834518,"EUROPE"
"476",22.208222,48.58295,"EUROPE"
"477",-7.891835,39.060443,"EUROPE"
"478",36.37386,51.186329,"EUROPE"
"479",12.452845,43.927588,"EUROPE"
"480",1.808781,41.545821,"EUROPE"
"481",16.688656,52.045666,"EUROPE"
"482",20.988383,52.355162,"EUROPE"
"483",15.398226,48.313023,"EUROPE"
"484",17.255034,48.18715,"EUROPE"
"485",38.196987,51.786006,"EUROPE"
"486",16.518605,45.664892,"EUROPE"
"487",55.215865,54.597546,"EUROPE"
"488",6.04591,46.20035,"EUROPE"
"489",2.31216,48.67538,"EUROPE"
"490",14.6494,52.154442,"EUROPE"
"491",20.946276,50.75333,"EUROPE"
"492",22.647974,49.663102,"EUROPE"
"493",-8.73147,39.323326,"EUROPE"
"494",12.704101,43.743205,"EUROPE"
"495",15.925,47.091667,"EUROPE"
"496",20.278703,40.43809,"EUROPE"
"497",43.184032,52.49584,"EUROPE"
"498",36.85475,51.936064,"EUROPE"
"499",74.991895,54.094981,"ASIA"
"500",42.063323,55.664138,"EUROPE"
"501",44.052855,49.184763,"EUROPE"
"502",4.830233,45.842892,"EUROPE"
"503",5.81531,43.56006,"EUROPE"
"504",55.970334,54.690733,"EUROPE"
"505",19.933945,40.586884,"EUROPE"
"506",11.044807,51.376093,"EUROPE"
"507",3.25461,48.44417,"EUROPE"
"508",2.76965,43.24839,"EUROPE"
"509",-6.88964,43.115547,"EUROPE"
"510",26.198872,53.435929,"EUROPE"
"511",35.147217,31.756152,"ASIA"
"512",-2.215302,47.684881,"EUROPE"
"513",18.767481,42.445536,"EUROPE"
"514",33.198971,34.9226,"ASIA"
"515",45.715537,43.354715,"EUROPE"
"516",46.843698,49.121711,"EUROPE"
"517",4.35911,43.72381,"EUROPE"
"518",-4.908881,36.681191,"EUROPE"
"519",2.535954,42.156787,"EUROPE"
"520",16.603012,40.375824,"EUROPE"
"521",2.330219,41.786986,"EUROPE"
"522",30.603741,50.447124,"EUROPE"
"523",1.626495,44.552948,"EUROPE"
"524",20.020496,39.855042,"EUROPE"
"525",2.827539,46.186488,"EUROPE"
"526",-0.804595,38.250583,"EUROPE"
"527",8.952693,39.774807,"EUROPE"
"528",17.224658,48.564398,"EUROPE"
"529",2.29973,42.6105,"EUROPE"
"530",-0.176417,41.656375,"EUROPE"
"531",12.2189,51.2538,"EUROPE"
"532",11.049075,51.955647,"EUROPE"
"533",14.340211,51.773029,"EUROPE"
"534",19.699478,44.287047,"EUROPE"
"535",10.962109,51.422274,"EUROPE"
"536",8.580476,48.902294,"EUROPE"
"537",7.244458,48.063145,"EUROPE"
"538",-3.962172,38.981072,"EUROPE"
"539",8.29175,48.930077,"EUROPE"
"540",-0.819213,38.031109,"EUROPE"
"541",19.15179,47.55158,"EUROPE"
"542",21.78648,47.57371,"EUROPE"
"543",20.24709,46.662,"EUROPE"
"544",34.623504,50.123167,"EUROPE"
"545",7.53598,46.29887,"EUROPE"
"546",12.094358,51.524658,"EUROPE"
"547",7.974651,48.705748,"EUROPE"
"548",8.14863,48.822242,"EUROPE"
"549",7.096504,50.896618,"EUROPE"
"550",13.256265,52.397602,"EUROPE"
"551",14.165606,52.261108,"EUROPE"
"552",13.231463,51.582508,"EUROPE"
"553",8.758326,49.265739,"EUROPE"
"554",9.086962,48.914954,"EUROPE"
"555",35.876125,49.720969,"EUROPE"
"556",14.1007,51.4622,"EUROPE"
"557",22.707187,44.063914,"EUROPE"
"558",1.49446,44.85047,"EUROPE"
"559",17.072395,48.422253,"EUROPE"
"560",45.849723,52.496656,"EUROPE"
"561",6.778008,43.968386,"EUROPE"
"562",79.878877,23.138267,"ASIA"
"563",15.85841,50.188048,"EUROPE"
"564",48.99592,53.240522,"EUROPE"
"565",43.446353,44.883305,"EUROPE"
"566",50.609027,52.935909,"EUROPE"
"567",16.996864,52.691188,"EUROPE"
"568",52.53257,55.763287,"EUROPE"
"569",20.926378,49.98185,"EUROPE"
"570",44.599714,48.523235,"EUROPE"
"571",19.42573,46.41837,"EUROPE"
"572",4.705956,36.598211,"AFRICA"
"573",17.13168,51.049225,"EUROPE"
"574",17.594795,48.855212,"EUROPE"
"575",13.476664,45.879902,"EUROPE"
"576",39.878933,47.034312,"EUROPE"
"577",72.483818,23.06047,"ASIA"
"578",101.403493,14.561897,"ASIA"
"579",30.067957,48.145963,"EUROPE"
"580",0.02008,46.84791,"EUROPE"
"581",-8.382981,43.237966,"EUROPE"
"582",-2.943053,41.83747,"EUROPE"
"583",11.093824,42.775528,"EUROPE"
"584",15.814637,47.977976,"EUROPE"
"585",48.458489,53.220809,"EUROPE"
"586",55.69251,54.962667,"EUROPE"
"587",23.729222,52.734342,"EUROPE"
"588",-8.285185,40.232722,"EUROPE"
"589",30.425142,50.141284,"EUROPE"
"590",19.290418,51.191699,"EUROPE"
"591",-4.360746,40.044187,"EUROPE"
"592",39.756956,54.622845,"EUROPE"
"593",28.391736,50.32445,"EUROPE"
"594",0.59327,43.46816,"EUROPE"
"595",-0.21561,46.93626,"EUROPE"
"596",40.048886,54.604478,"EUROPE"
"597",21.107053,40.68178,"EUROPE"
"598",21.650628,49.571208,"EUROPE"
"599",16.28086,46.90579,"EUROPE"
"600",18.95025,53.744832,"EUROPE"
"601",20.704865,45.801336,"EUROPE"
"602",53.498862,54.481554,"EUROPE"
"603",16.893611,48.465848,"EUROPE"
"604",54.795685,53.647339,"EUROPE"
"605",3.603294,44.278757,"EUROPE"
"606",19.582976,45.359778,"EUROPE"
"607",15.658333,48.641667,"EUROPE"
"608",14.778301,41.116033,"EUROPE"
"609",55.256021,53.446731,"EUROPE"
"610",18.408475,47.390584,"EUROPE"
"611",16.196294,48.983937,"EUROPE"
"612",120.300142,22.928038,"ASIA"
"613",33.872494,51.35357,"EUROPE"
"614",8.748923,45.283848,"EUROPE"
"615",37.031721,52.241712,"EUROPE"
"616",16.450327,47.306655,"EUROPE"
"617",-1.73275,46.644297,"EUROPE"
"618",98.432269,19.379235,"ASIA"
"619",45.0806,54.3234,"EUROPE"
"620",-8.218626,42.959247,"EUROPE"
"621",79.359216,21.733233,"ASIA"
"622",5.340388,43.779696,"EUROPE"
"623",2.824026,41.99262,"EUROPE"
"624",28.659037,50.255051,"EUROPE"
"625",22.015068,51.408926,"EUROPE"
"626",23.457216,51.108478,"EUROPE"
"627",29.737152,53.602497,"EUROPE"
"628",31.867336,49.206469,"EUROPE"
"629",1.431093,41.605633,"EUROPE"
"630",19.934438,45.202992,"EUROPE"
