"","species","long","lat","continent"
"1","Mantis religiosa",-2.705213,36.826745,"EUROPE"
"2","Mantis religiosa",-2.70516,36.826982,"EUROPE"
"3","Mantis religiosa",-2.70516,36.826982,"EUROPE"
"4","Mantis religiosa",15.596353,43.821294,"EUROPE"
"5","Mantis religiosa",-3.635131,43.237161,"EUROPE"
"6","Mantis religiosa",-3.862855,43.448581,"EUROPE"
"7","Mantis religiosa",8.163284,49.961282,"EUROPE"
"8","Mantis religiosa",-4.768877,37.876325,"EUROPE"
"9","Mantis religiosa",-4.768887,37.876296,"EUROPE"
"10","Mantis religiosa",-2.074302,37.089862,"EUROPE"
"11","Mantis religiosa",-2.139998,37.104965,"EUROPE"
"12","Mantis religiosa",5.735991,43.239535,"EUROPE"
"13","Mantis religiosa",22.154045,50.646572,"EUROPE"
"14","Mantis religiosa",-2.615607,36.814498,"EUROPE"
"15","Mantis religiosa",-4.753051,37.577737,"EUROPE"
"16","Mantis religiosa",-1.51162,37.56475,"EUROPE"
"17","Mantis religiosa",-1.511659,37.564839,"EUROPE"
"18","Mantis religiosa",-1.520845,37.55609,"EUROPE"
"19","Mantis religiosa",-0.504963,39.85312,"EUROPE"
"20","Mantis religiosa",-0.443014,39.912499,"EUROPE"
"21","Mantis religiosa",5.326893,43.469945,"EUROPE"
"22","Mantis religiosa",5.326808,43.469906,"EUROPE"
"23","Mantis religiosa",-8.516597,38.039977,"EUROPE"
"24","Mantis religiosa",-2.800243,36.75672,"EUROPE"
"25","Mantis religiosa",3.219847,43.349433,"EUROPE"
"26","Mantis religiosa",-1.536751,37.427006,"EUROPE"
"27","Mantis religiosa",-1.530356,37.430404,"EUROPE"
"28","Mantis religiosa",-7.456218,38.341996,"EUROPE"
"29","Mantis religiosa",18.81835,46.621386,"EUROPE"
"30","Mantis religiosa",-9.364131,38.720205,"EUROPE"
"31","Mantis religiosa",4.53372,45.467405,"EUROPE"
"32","Mantis religiosa",8.727712,49.819851,"EUROPE"
"33","Mantis religiosa",0.729069,49.485614,"EUROPE"
"34","Mantis religiosa",0.739694,49.491644,"EUROPE"
"35","Mantis religiosa",0.749173,49.485514,"EUROPE"
"36","Mantis religiosa",5.738816,43.231068,"EUROPE"
"37","Mantis religiosa",-8.525621,38.375328,"EUROPE"
"38","Mantis religiosa",16.43834,48.214178,"EUROPE"
"39","Mantis religiosa",5.993647,44.186609,"EUROPE"
"40","Mantis religiosa",-7.481063,38.375473,"EUROPE"
"41","Mantis religiosa",-7.53138,43.003117,"EUROPE"
"42","Mantis religiosa",-9.183848,38.448118,"EUROPE"
"43","Mantis religiosa",-4.169344,40.659792,"EUROPE"
"44","Mantis religiosa",49.12265,55.788414,"EUROPE"
"45","Mantis religiosa",16.254566,48.032616,"EUROPE"
"46","Mantis religiosa",16.248599,48.033363,"EUROPE"
"47","Mantis religiosa",7.963523,43.940445,"EUROPE"
"48","Mantis religiosa",10.314682,42.781028,"EUROPE"
"49","Mantis religiosa",15.688145,47.019995,"EUROPE"
"50","Mantis religiosa",-5.344756,36.176075,"EUROPE"
"51","Mantis religiosa",16.15596,49.225848,"EUROPE"
"52","Mantis religiosa",16.154532,49.223291,"EUROPE"
"53","Mantis religiosa",-0.495008,44.870591,"EUROPE"
"54","Mantis religiosa",13.752339,52.796408,"EUROPE"
"55","Mantis religiosa",7.923509,44.993369,"EUROPE"
"56","Mantis religiosa",5.724357,43.22899,"EUROPE"
"57","Mantis religiosa",22.622417,37.474016,"EUROPE"
"58","Mantis religiosa",8.140897,49.267066,"EUROPE"
"59","Mantis religiosa",-0.512862,39.665317,"EUROPE"
"60","Mantis religiosa",-6.019933,38.218224,"EUROPE"
"61","Mantis religiosa",-8.575264,37.330696,"EUROPE"
"62","Mantis religiosa",0.91546,41.259008,"EUROPE"
"63","Mantis religiosa",-1.371446,42.60831,"EUROPE"
"64","Mantis religiosa",-6.483948,37.128922,"EUROPE"
"65","Mantis religiosa",-5.344756,36.176075,"EUROPE"
"66","Mantis religiosa",-4.072519,43.119361,"EUROPE"
"67","Mantis religiosa",8.076368,49.04168,"EUROPE"
"68","Mantis religiosa",7.994289,49.715636,"EUROPE"
"69","Mantis religiosa",8.855925,50.030392,"EUROPE"
"70","Mantis religiosa",8.307242,49.967784,"EUROPE"
"71","Mantis religiosa",12.197086,45.564839,"EUROPE"
"72","Mantis religiosa",16.679034,48.739108,"EUROPE"
"73","Mantis religiosa",12.928908,52.039372,"EUROPE"
"74","Mantis religiosa",3.972368,43.960974,"EUROPE"
"75","Mantis religiosa",-8.585809,39.236336,"EUROPE"
"76","Mantis religiosa",-3.632945,37.676497,"EUROPE"
"77","Mantis religiosa",-8.415962,41.54018,"EUROPE"
"78","Mantis religiosa",-8.727399,42.181073,"EUROPE"
"79","Mantis religiosa",22.31852,48.6421,"EUROPE"
"80","Mantis religiosa",3.824878,43.656521,"EUROPE"
"81","Mantis religiosa",13.102393,52.313835,"EUROPE"
"82","Mantis religiosa",-9.486604,38.765356,"EUROPE"
"83","Mantis religiosa",-9.486632,38.765339,"EUROPE"
"84","Mantis religiosa",-9.486635,38.765612,"EUROPE"
"85","Mantis religiosa",-9.486747,38.765298,"EUROPE"
"86","Mantis religiosa",4.563353,50.088258,"EUROPE"
"87","Mantis religiosa",1.916032,41.291443,"EUROPE"
"88","Mantis religiosa",18.675227,50.921633,"EUROPE"
"89","Mantis religiosa",-3.117695,36.77883,"EUROPE"
"90","Mantis religiosa",0.675201,41.004162,"EUROPE"
"91","Mantis religiosa",-0.656999,39.983711,"EUROPE"
"92","Mantis religiosa",12.873887,46.084369,"EUROPE"
"93","Mantis religiosa",28.733011,44.495362,"EUROPE"
"94","Mantis religiosa",8.84551,45.414322,"EUROPE"
"95","Mantis religiosa",3.074825,46.023228,"EUROPE"
"96","Mantis religiosa",10.460317,44.114074,"EUROPE"
"97","Mantis religiosa",3.86099,43.71849,"EUROPE"
"98","Mantis religiosa",3.862159,43.718339,"EUROPE"
"99","Mantis religiosa",8.794656,45.431867,"EUROPE"
"100","Mantis religiosa",18.676218,50.921841,"EUROPE"
"101","Mantis religiosa",3.869777,43.651271,"EUROPE"
"102","Mantis religiosa",-3.527316,40.317318,"EUROPE"
"103","Mantis religiosa",16.640738,43.575538,"EUROPE"
"104","Mantis religiosa",6.871958,43.590708,"EUROPE"
"105","Mantis religiosa",9.941745,45.321597,"EUROPE"
"106","Mantis religiosa",-0.569456,45.483153,"EUROPE"
"107","Mantis religiosa",-0.894356,42.785412,"EUROPE"
"108","Mantis religiosa",7.493358,45.170087,"EUROPE"
"109","Mantis religiosa",12.293181,41.884764,"EUROPE"
"110","Mantis religiosa",12.293174,41.884759,"EUROPE"
"111","Mantis religiosa",-3.404656,40.228117,"EUROPE"
"112","Mantis religiosa",-4.01886,40.663533,"EUROPE"
"113","Mantis religiosa",3.076286,45.975453,"EUROPE"
"114","Mantis religiosa",-0.385697,39.625912,"EUROPE"
"115","Mantis religiosa",5.358715,43.228362,"EUROPE"
"116","Mantis religiosa",3.677505,43.492928,"EUROPE"
"117","Mantis religiosa",8.107135,48.609822,"EUROPE"
"118","Mantis religiosa",3.673498,43.49152,"EUROPE"
"119","Mantis religiosa",10.460146,44.115275,"EUROPE"
"120","Mantis religiosa",1.129877,42.623181,"EUROPE"
"121","Mantis religiosa",-8.126929,40.806378,"EUROPE"
"122","Mantis religiosa",0.658225,40.628465,"EUROPE"
"123","Mantis religiosa",2.906942,42.248703,"EUROPE"
"124","Mantis religiosa",4.241506,43.891431,"EUROPE"
"125","Mantis religiosa",15.556945,48.367122,"EUROPE"
"126","Mantis religiosa",8.113921,48.602231,"EUROPE"
"127","Mantis religiosa",-5.98503,43.306809,"EUROPE"
"128","Mantis religiosa",-5.502732,39.549486,"EUROPE"
"129","Mantis religiosa",7.974434,49.930214,"EUROPE"
"130","Mantis religiosa",-2.613681,39.37032,"EUROPE"
"131","Mantis religiosa",-3.235449,40.469904,"EUROPE"
"132","Mantis religiosa",-1.630408,42.660471,"EUROPE"
"133","Mantis religiosa",13.1744,51.772831,"EUROPE"
"134","Mantis religiosa",-0.894303,42.785369,"EUROPE"
"135","Mantis religiosa",2.374579,47.095299,"EUROPE"
"136","Mantis religiosa",2.374592,47.095317,"EUROPE"
"137","Mantis religiosa",1.844171,42.113641,"EUROPE"
